,ltable_id,rtable_id,label,l_entity,r_entity
0,7388,7388,0,"{'/sku': '[y05010m1]', 'category': 'Jewelry', 'Brand': 'GC', 'Packaging': 'GC packaging', 'Case width approx.': '37mm', 'Case depth approx.': '11mm', 'Gender': 'Ladies', 'Dial Colour': 'White Mop', 'Date': 'Yes', 'Clasp type': 'Deployment Buckle', 'Case Material': 'Stainless Steel', 'Strap type': 'Stainless Steel', 'Strap colour': 'Silver Tone', 'Water resistance': '100 metres', 'Movement': 'Swiss Quartz', 'Chronograph': 'Yes', 'MPN': 'Y05010M1', 'Guarantee': 'GC 2 year guarantee', 'description': '  "" GC Ladies Lady Chic Chronograph Watch ""@en ""GC Y05010M1 £219.00 - TheWatchSuperstore.com™""@en  ""', 'entity1': {'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}, 'entity2': {'title': '', 'brand': '', 'color': '', 'gender': '', 'sku': '', 'diameter': ''}}","{'title': ""Hamilton Ladies' Jazzmaster Lady 30mm Watch"", 'brand': 'Hamilton', 'color': 'Silver', 'gender': 'Ladies', 'sku': 'H42211155', 'diameter': '30mm', 'description': '  "" Hamilton Ladies\' Jazzmaster Lady 30mm Watch""@en ""Ladies\' Watch (H42211155) - WATCH SHOP.com™""@en'}"
1,7389,7389,0,"{'/sku': '[8414cb015062l]', '/mpn': '[cb015062l]', '/gtin13': '[4974374250124]', 'brand': '""Citizen""@en', 'category': 'Jewelry', 'Target Group:': 'Mens', 'housing diameter:': '43 mm', 'housing height:': '10 mm', 'Shape:': 'Round', 'housing color:': 'Silver', 'glass:': 'Sapphire The most robust watch crystals are made o', 'Material:': 'Stainless steel', 'description': '  ""Eco-Drive Herrenuhr Funk""@de ""Citizen Eco-Drive Funk CB0150-62L nur 399 00 €""@de  "" Artikel-Nr.: ', 'title': '  ""Eco-Drive Herrenuhr Funk""@de ""Citizen Eco-Drive Funk CB0150-62L nur 399 00 €""@de  "" Artikel-Nr.: ', 'sku': {'title': '  ""Eco-Drive Herrenuhr Funk""@de ""Citizen Eco-Drive Funk CB0150-62L nur 399 00 €""@de  "" Artikel-Nr.: ', 'sku': ""['8414cb015062l', 'cb015062l']""}}","{'title': 'Eco-Drive Men´s Watch', 'brand': 'Citizen', 'color': '', 'gender': 'Men', 'sku': 'AW1360-04E', 'diameter': '', 'description': '  ""Eco-Drive Men´s Watch""@en ""Citizen Eco-Drive Watch AW1360-04E nur € 111.20""@en'}"
2,7390,7390,0,"{'/mpn': '[w51028q3]', 'brand': 'Cartier', 'category': 'Jewelry', 'Gender': 'Ladies', 'Case Material': 'Stainless Steel', 'Dial Color': 'Pink Mother of Pearl', 'Bracelet': 'Stainless Steel', 'Clasp': 'Hidden Folding Clasp', 'Movement': 'Quartz', 'Bezel': 'Fixed', 'Crystal': 'Scratch Resistant Sapphire', 'Case Back': 'Solid', 'Water Resistant': '30m/100ft', 'Case Diameter': '20mm x 25mm', 'Case Thickness': '6mm', 'Item #': 'W51028Q3', 'MSRP': '$3,100.00', 'Brand': 'Cartier', 'price': '""$"", ""$2,790.00""', 'description': '  ""Cartier Tank Française Watch W51028Q3"" ""Shop Cartier WE110005 Watches | Northeastern Fine Jewelry', 'title': 'Cartier Tank Française Watch W51028Q3', 'color': 'pink', 'gender': 'Ladies', 'sku': 'W51028Q3', 'diameter': 'Small'}","{'title': 'Cartier Tank Française Watch W51008Q3', 'brand': 'Cartier', 'color': 'silver', 'gender': 'Ladies', 'sku': 'W51008Q3', 'diameter': '', 'description': '  ""Cartier Tank Française Watch W51008Q3"" ""Shop Cartier WE110004 Watches | Northeastern Fine Jewelry'}"
3,7391,7391,0,"{'/sku': '[dw00100036]', 'category': 'Jewelry', 'description': '  "" Daniel Wellington Ladies\' Sheffield Rose 36mm Watch""@en ""Ladies\' Watch (DW00100036) - WATCH SHOP', 'title': ""Daniel Wellington Ladies' Sheffield Rose 36mm Watch"", 'brand': 'Daniel Wellington', 'color': 'Rose', 'gender': 'Ladies', 'sku': 'DW00100036', 'diameter': '36mm'}","{'title': '  ""Daniel Wellington Classic Lady Winchester rose gold""@nl-NL gold 10:35 Horloge boektiek""@nl-NL', 'sku': {'title': '  ""Daniel Wellington Classic Lady Winchester rose gold""@nl-NL gold 10:35 Horloge boektiek""@nl-NL', 'sku': nan}, 'description': '  ""Daniel Wellington Classic Lady Winchester rose gold""@nl-NL gold 10:35 Horloge boektiek""@nl-NL'}"
4,7392,7392,0,"{'/sku': '[4216gw94001er]', '/mpn': '[gw94001er]', '/gtin13': '[4971850980643]', 'brand': '""Casio""@en', 'category': 'Jewelry', 'Target Group:': 'Mens', 'housing diameter:': '54 mm', 'housing height:': '18 mm', 'Shape:': 'Round', 'housing color:': 'Black', 'glass:': 'Mineral crystal', 'Material:': 'Synthetic', 'Display:': 'Digital Digital watches and clocks have a digital ', 'Digits:': 'None', 'description': '  ""G-Shock Rangeman Herrenuhr""@de ""Casio G-Shock Herrenuhr GW-9400-1ER nur 299 00 €""@de  "" Artikel-N', 'title': '  ""G-Shock Rangeman Herrenuhr""@de ""Casio G-Shock Herrenuhr GW-9400-1ER nur 299 00 €""@de  "" Artikel-N', 'sku': {'title': '  ""G-Shock Rangeman Herrenuhr""@de ""Casio G-Shock Herrenuhr GW-9400-1ER nur 299 00 €""@de  "" Artikel-N', 'sku': ""['4216gw94001er', 'gw94001er']""}}","{'title': '  ""G-Shock Premium Mudmaster GWG-1000 Noir/Kaki - Casio""@fr-fr Casio GWG-1000-1A3ER""@fr-fr  ""  Robus', 'sku': {'title': '  ""G-Shock Premium Mudmaster GWG-1000 Noir/Kaki - Casio""@fr-fr Casio GWG-1000-1A3ER""@fr-fr  ""  Robus', 'sku': ""['gwg10001a3er']""}, 'description': '  ""G-Shock Premium Mudmaster GWG-1000 Noir/Kaki - Casio""@fr-fr Casio GWG-1000-1A3ER""@fr-fr  ""  Robus'}"
5,7393,7393,0,"{'/sku': '[dw00100011]', 'category': 'Jewelry', 'description': '  ""York Rosegold Herrenuhr 40mm""@de 00 €""@de ""Daniel Wellington York 40mm nur 139  "" Artikel-Nr.: 16', 'title': 'York Rosegold Herrenuhr 40mm', 'brand': 'Daniel Wellington', 'color': 'roségold', 'gender': 'Herren', 'sku': '1692 DW00100011', 'diameter': '40mm'}","{'title': '  ""Daniel Wellington Classic Lady Reading rose gold""@nl-NL gold | 10:35 Horloge boetiek""@nl-NL', 'sku': {'title': '  ""Daniel Wellington Classic Lady Reading rose gold""@nl-NL gold | 10:35 Horloge boetiek""@nl-NL', 'sku': nan}, 'description': '  ""Daniel Wellington Classic Lady Reading rose gold""@nl-NL gold | 10:35 Horloge boetiek""@nl-NL'}"
6,7394,7394,1,"{'/sku': '[4238ga110mb1aer]', '/mpn': '[ga110mb1aer]', '/gtin13': '[4971850056263]', 'brand': '""Casio""@en', 'category': 'Jewelry', 'Target Group:': 'Mens', 'housing diameter:': '51 mm', 'housing height:': '17 mm', 'Shape:': 'Round', 'housing color:': 'Black', 'glass:': 'Mineral crystal', 'Material:': 'Synthetic', 'description': '  ""G-Shock Herrenuhr""@de ""Casio G-Shock Herrenuhr GA-110MB-1AER nur 129 00 €""@de  "" Artikel-Nr.: 423', 'title': '  ""G-Shock Herrenuhr""@de ""Casio G-Shock Herrenuhr GA-110MB-1AER nur 129 00 €""@de  "" Artikel-Nr.: 423', 'sku': {'title': '  ""G-Shock Herrenuhr""@de ""Casio G-Shock Herrenuhr GA-110MB-1AER nur 129 00 €""@de  "" Artikel-Nr.: 423', 'sku': ""['ga110mb1aer', '4238ga110mb1aer']""}}","{'title': 'Herren Casio G-Shock Militär Schwarz Wecker Chronograf Uhr GA-110MB-1AER', 'brand': 'Casio', 'color': 'Schwarz', 'gender': 'Herren', 'sku': 'GA-110MB-1AER', 'diameter': '', 'description': '  ""Herren Casio G-Shock Militär Schwarz Wecker Chronograf Uhr GA-110MB-1AER""@de'}"
7,7395,7395,0,"{'/sku': '[3516027432444]', '/mpn': '[27432444]', '/gtin13': '[4000897389079]', 'brand': 'Junghans', 'category': 'Jewelry', 'specjalny:': 'szklane dno', 'rodzaj:': 'chronograf', 'grupa docelowa:': 'męskie', 'Ø koperty::': '41 mm', 'Grubość koperty:': '14 mm', 'kształt:': 'owalny', 'kolor obudowy:': 'srebro', 'materiał:': 'stal nierdzewna', 'description': '  "" Junghans Men\'s Meister Chronoscope Automatic Chronograph Watch""@en ""Men\'s Watch (027/4324.44) - ', 'title': ""Junghans Men's Meister Chronoscope Automatic Chronograph Watch"", 'color': 'dark grey', 'gender': ""Men's"", 'sku': '027/4324.44', 'diameter': ''}","{'title': 'Mens 1972 Chronoscope Solar Alarm Chronograph Powered Watch', 'brand': 'Junghans', 'color': '', 'gender': 'Mens', 'sku': '', 'diameter': '', 'description': '  ""Mens 1972 Chronoscope Solar Alarm Chronograph Powered Watch ""@de ""1972 Kollektion von Junghans | '}"
8,7396,7396,0,"{'/sku': '[dw00100030]', 'category': 'Jewelry', 'description': '  ""Canterbury Rosegold Damenuhr 36mm""@de ""Daniel Wellington Canterbury 36mm nur 139 00 €""@de  "" Arti', 'title': '', 'brand': '', 'color': 'rosé-goldfarben', 'gender': '', 'sku': '1641 DW00100030', 'diameter': 'ca. 36 mm'}","{'title': '  ""Classic Black Cornwall Rose Gold 40mm""@en ""Daniel Wellington Classic 40mm nur € 159.00""@en', 'sku': {'title': '  ""Classic Black Cornwall Rose Gold 40mm""@en ""Daniel Wellington Classic 40mm nur € 159.00""@en', 'sku': nan}, 'description': '  ""Classic Black Cornwall Rose Gold 40mm""@en ""Daniel Wellington Classic 40mm nur € 159.00""@en'}"
9,7397,7397,0,"{'/mpn': '[wh100351]', 'brand': 'Cartier', 'category': 'Jewelry', 'Series': 'Santos', 'Model Number': 'WH100351', 'Size': 'Ladies', 'Case Material': '18kt Rose Gold', 'Dial Color': 'Silver Dial with Roman Numerals', 'Case Width': '25mm', 'Bezel': 'Set with Diamonds', 'Crown': 'Crown Set with a Diamond', 'Movement': 'Swiss Quartz', 'Clasp Type': 'Pin Buckle', 'Band Material': 'Brown Leather Strap with Crocodile Pattern', 'Crystal': 'Scratch Resistant Sapphire', 'Water Resistant': '30 meters/100 feet', 'Item #': 'WH100351', 'MSRP': '$25,125.00', 'Brand': 'Cartier', 'description': '  ""Cartier Santos-Dumont Watch WH100351"" ""Shop Cartier WH100351 Watches | Northeastern Fine Jewelry""', 'title': 'Cartier Santos-Dumont Watch', 'color': 'Null', 'gender': 'Null', 'sku': 'WH100351', 'diameter': 'Null'}","{'title': 'Shop Cartier WSSA0006 Watches | Northeastern Fine Jewelry', 'brand': 'Cartier', 'color': 'Null', 'gender': 'Null', 'sku': 'WSSA0006', 'diameter': '100', 'description': '  ""Cartier Santos 100 Watch WSSA0006"" ""Shop Cartier WSSA0006 Watches | Northeastern Fine Jewelry""  ""'}"
