,ltable_id,rtable_id,label,l_entity,r_entity
0,1853,2139,0,"{'title': 'sony 16gb class 4 sd memory card', 'category': 'usb drives', 'brand': 'sony', 'modelno': 'sf16n4/tqp', 'price': 0.0, 'subcategory': 'Memory Cards', 'key_features': ['16GB Capacity', 'Class 4', 'SDHC Support'], 'sku': 'SONY-SF16N4-TQP', 'color': 'Black'}","{'title': 'pny 4gb class 4 navy sd card', 'category': 'car audio video', 'brand': 'pny', 'modelno': 'p-sdhc4g4-ef / navy', 'price': 11.18, 'subcategory': 'Memory Cards', 'key_features': ['4GB Capacity', 'Class 4', 'SDHC Support'], 'sku': 'P-SDHC4G4-EF-NAVY', 'color': 'Navy'}"
1,621,3167,0,"{'title': 'zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card', 'category': 'electronics - general', 'brand': 'zotac', 'modelno': 'zt-40604-10l', 'price': 88.88, 'subcategory': 'Graphics Cards', 'key_features': 'DX11 Support, HDMI, DVI, VGA', 'sku': 'ZT-40604-10L', 'color': 'Black'}","{'title': 'evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr', 'category': 'graphics cards', 'brand': 'evga', 'modelno': '01g-p3-1452-tr', 'price': 119.88, 'subcategory': 'Mid-Range GPUs', 'key_features': 'Fermi Architecture, 3D Vision Support, PhysX', 'sku': 'EVGA-01G-P3-1452-TR', 'color': 'Black'}"
2,2115,8789,0,"{'title': 'da-lite high power model b manual screen with csr - 84 x 84 av format', 'category': 'electronics - general', 'brand': 'da-lite', 'modelno': '85303', 'price': 372.99, 'subcategory': 'Electronics > General', 'key_features': 'High Power, CSR', 'sku': '85303', 'color': 'AV Format Size 84 x 84'}","{'title': 'da-lite advantage manual with csr - projection screen - 133 in - 16 9 - high power', 'category': 'home audio theater', 'brand': 'da-lite', 'modelno': '', 'price': 904.95, 'subcategory': 'Projection Screens', 'key_features': ['Advantage', 'CSR', '133 in', '16:9', 'High Power'], 'sku': 'DA-LITE-ADVANTAGE', 'color': 'Black'}"
3,278,9064,0,"{'title': 'da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal', 'category': 'electronics - general', 'brand': 'da-lite', 'modelno': '89939', 'price': 2595.0, 'subcategory': 'Electronics > Audio-Visual', 'key_features': ['Tensioned Advantage Electrol', '8x8 diagonal'], 'sku': '97986', 'color': 'Cosmopolitan'}","{'title': 'hc da-mat tensioned advantage electrol - av format 50 x 50', 'category': 'projection screens', 'brand': 'da-lite', 'modelno': '', 'price': '', 'subcategory': 'Projection Screens > Tensioned Screens', 'key_features': ['Tensioned Advantage Electrol system', '50x50 size', 'AV format'], 'sku': '', 'color': ''}"
4,1673,13279,0,"{'title': 'verbatim 4gb tuff - n - tiny usb 2.0 flash drive green', 'category': 'usb drives', 'brand': 'verbatim', 'modelno': '', 'price': 11.98, 'subcategory': ""Tuff 'n' Tiny USB Drives"", 'key_features': ['Waterproof', 'Shockproof', 'Dustproof'], 'sku': 'VTUFF4GBTINYG', 'color': 'Green'}","{'title': 'verbatim clip-it 4 gb usb 2.0 flash drive 97556 green', 'category': 'usb flash drives', 'brand': 'verbatim', 'modelno': '97556', 'price': 10.98, 'subcategory': 'USB 2.0 Flash Drives', 'key_features': 'Clip-it Design, Compact, Reliable Data Storage', 'sku': 'V97556', 'color': 'Green'}"
5,2305,2948,0,"{'title': 'clickfree c2 500gb usb 3.0 portable external hard drive', 'category': 'hard drives', 'brand': 'clickfree', 'modelno': 'hd527b3', 'price': 84.98, 'subcategory': 'Portable Hard Drives', 'key_features': ['USB 3.0', '500GB storage capacity'], 'sku': 'C2-500GB-HD527B3', 'color': 'Black'}","{'title': 'iomega skin 500 gb usb 2.0 portable external hard drive 35106 black', 'category': 'computers accessories', 'brand': 'iomega', 'modelno': '35106', 'price': 94.49, 'subcategory': 'Portable Hard Drives', 'key_features': ['USB 2.0', '500GB storage capacity'], 'sku': '35106', 'color': 'Black'}"
6,1543,10366,0,"{'title': 'apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g', 'category': 'electronics - general', 'brand': 'apc', 'modelno': 'be750g', 'price': 95.88, 'subcategory': 'Uninterruptible Power Supply (UPS)', 'key_features': ['10 outlet', '750VA', '120V'], 'sku': 'BE750G', 'color': 'Black'}","{'title': 'apc be450g back-ups es 8-outlet 450va 120v uninterrupted power supply', 'category': 'batteries chargers accessories', 'brand': 'apc', 'modelno': 'be450g', 'price': 55.99, 'subcategory': 'Uninterruptible Power Supply (UPS)', 'key_features': ['8 outlet', '450VA', '120V'], 'sku': 'BE450G', 'color': 'Black'}"
7,88,3269,1,"{'title': 'balt wheasel easel adjustable melamine dry erase board white', 'category': 'stationery & office machinery', 'brand': 'balt', 'modelno': '33250', 'price': 239.88, 'subcategory': 'dry erase boards', 'key_features': ['adjustable', 'melamine', 'dry erase', 'white'], 'sku': 'B084K63S6M', 'color': 'white'}","{'title': 'balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white', 'category': 'laminating supplies', 'brand': 'mayline', 'modelno': '', 'price': 134.45, 'subcategory': 'Dry Erase Boards', 'key_features': ['Adjustable', 'Melamine', 'Dry Erase'], 'sku': 'MAYL-WHEA-2834-WHT', 'color': 'White'}"
8,1718,11835,0,"{'title': 'kodak esp 3250 all-in-one printer value bundle', 'category': 'printers', 'brand': '', 'modelno': '', 'price': 58.0, 'subcategory': 'Multifunction Printers', 'key_features': 'Print, Copy, Scan, Wi-Fi', 'sku': 'KODAK-ESP3250-VB', 'color': 'Black'}","{'title': 'kodak esp 7 all-in-one printer', 'category': 'all-in-one printers', 'brand': 'kodak', 'modelno': '1252972', 'price': 149.29, 'subcategory': 'All-in-One Printers', 'key_features': ['Print, Copy, Scan', 'Automatic Document Feeder', 'Duplex Printing'], 'sku': 'KODAK-ESP7-PRINTER', 'color': 'White'}"
9,1624,5013,1,"{'title': 'hp q3675a image transfer kit', 'category': 'printers', 'brand': 'hp', 'modelno': 'q3675a', 'price': 194.84, 'subcategory': 'Printing Supplies', 'key_features': 'High-quality prints, Easy installation', 'sku': 'Q3675A-WT', 'color': 'White'}","{'title': 'hewlett packard q3675a image transfer kit for hp color laserjet 4650', 'category': 'cleaning repair', 'brand': 'hp', 'modelno': 'q3675a', 'price': '', 'subcategory': 'Maintenance Kits', 'key_features': 'Long-lasting performance, Easy maintenance', 'sku': 'Q3675A-CLR', 'color': 'Color'}"
